Registry Key,Change Type,Value Name,Value Data,Value Type,Data Length,Value Data Changed To,Value Type Changed To,Data Length Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_LOCAL_MACHINE\SAM\SAM\Domains\Account\Users\000003E9,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\SAM\SAM\Domains\Account\Users\Names\defaultuser0,Added Key,,,,,,,,,2021-12-25 00:37
HKEY_LOCAL_MACHINE\SAM\SAM\Domains\Builtin\Aliases\Members\S-1-5-21-1227369113-202550365-1910860629,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\SAM\SAM\Domains\Builtin\Aliases\Members\S-1-5-21-1227369113-202550365-1910860629\000001F4,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\SAM\SAM\Domains\Builtin\Aliases\Members\S-1-5-21-1227369113-202550365-1910860629\000001F5,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\SAM\SAM\Domains\Builtin\Aliases\Members\S-1-5-21-1227369113-202550365-1910860629\000001F7,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\SAM\SAM\Domains\Builtin\Aliases\Members\S-1-5-21-1227369113-202550365-1910860629\000003E8,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\SAM\SAM\Domains\Builtin\Aliases\Members\S-1-5-21-1227369113-202550365-1910860629\000003E9,Added Key,,,,,,,,,2021-12-25 00:39
HKEY_LOCAL_MACHINE\Security\Policy\Accounts\S-1-5-21-1227369113-202550365-1910860629-501,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\Security\Policy\Accounts\S-1-5-21-1227369113-202550365-1910860629-501\ActSysAc,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\Security\Policy\Accounts\S-1-5-21-1227369113-202550365-1910860629-501\SecDesc,Added Key,,,,,,,,,2021-12-25 00:36
HKEY_LOCAL_MACHINE\Security\Policy\Accounts\S-1-5-21-1227369113-202550365-1910860629-501\Sid,Added Key,,,,,,,,,2021-12-25 00:36
