Registry Key,Change Type,Value Name,Value Data,Value Type,Data Length,Value Data Changed To,Value Type Changed To,Data Length Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_LOCAL_MACHINE\SAM\SAM\Domains\Builtin\Aliases\Members\S-1-5-21-2224317580-1405896099-3358583474,Removed Key,,,,,,,,2021-12-31 22:09,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netwtw08.inf.resources_31bf3856ad364e35_en-us_1953eda96983f018,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netwtw06.inf.resources_31bf3856ad364e35_en-us_f7dae2c88f2c11da,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netwtw04.inf.resources_31bf3856ad364e35_en-us_d661d7e7b4d4339c,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netwtw02.inf.resources_31bf3856ad364e35_en-us_b4e8e6a7da7c555e,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netwns64.inf.resources_31bf3856ad364e35_en-us_83d07b63c82ee624,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netwlv64.inf.resources_31bf3856ad364e35_en-us_915b34a777344be9,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netwew01.inf.resources_31bf3856ad364e35_en-us_cdf4efa71b97ab56,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netwbw02.inf.resources_31bf3856ad364e35_en-us_8097c5af453841e0,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netrtwlane_13.inf.resources_31bf3856ad364e35_en-us_6fc0dc26df2fbb4e,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netrtwlane01.inf.resources_31bf3856ad364e35_en-us_dde7e28e93347672,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netrtwlane.inf.resources_31bf3856ad364e35_en-us_0712001ee6b1913d,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netr28x.inf.resources_31bf3856ad364e35_en-us_de4ce6dbdcf32ec8,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netbc64.inf.resources_31bf3856ad364e35_en-us_b6a6210b99cea00d,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_netathr10x.inf.resources_31bf3856ad364e35_en-us_579da97ef1e64df8,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_net819xp.inf.resources_31bf3856ad364e35_en-us_0aad0dd915d34816,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_net8192se64.inf.resources_31bf3856ad364e35_en-us_cbf637b1dcc2b9e6,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_net8187se64.inf.resources_31bf3856ad364e35_en-us_475e5f94ff341aa8,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_net8185.inf.resources_31bf3856ad364e35_en-us_4b31d46c29793acc,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_net1ic64.inf.resources_31bf3856ad364e35_en-us_57cf2fe72a79676b,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_multiprt.inf.resources_31bf3856ad364e35_en-us_c5a26a533d074826,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_mrvlpcie8897.inf.resources_31bf3856ad364e35_en-us_34d2b6b8c53d90c3,Removed Key,,,,,,,,2019-12-07 09:50,
HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\SideBySide\Winners\amd64_microsoft.windows.h..r.ports-driverclass_31bf3856ad364e35_none_8509e1f31002ce5a,Removed Key,,,,,,,,2019-12-07 09:17,
