ObjidTable	Type	Id	ColtypOrPgnoFDP	SpaceUsage	Flags	PagesOrLocale	RootFlag	RecordOffset	LCMapFlags	KeyMost	LVChunkMax	Name	Stats	TemplateTable	DefaultValue	KeyFldIDs	VarSegMac	ConditionalColumns	TupleLimits	Version	SortID	CallbackData	CallbackDependencies	SeparateLV	SpaceHints	SpaceDeferredLVHints	LocaleName	
2	1	2	4	80	-1073741824	20	255					MSysObjects																
2	2	1	4	4	1	1252	42	4				ObjidTable																
2	2	2	3	2	1	1252	42	4				Type																
2	2	3	4	4	1	1252	42	4				Id																
2	2	4	4	4	1	1252	42	4				ColtypOrPgnoFDP																
2	2	5	4	4	1	1252	42	4				SpaceUsage																
2	2	6	4	4	1	1252	42	4				Flags																
2	2	7	4	4	1	1252	42	4				PagesOrLocale																
2	2	8	1	1	0	1252	42	4				RootFlag																
2	2	9	3	2	0	1252	42	4				RecordOffset																
2	2	10	4	4	0	1252	42	4				LCMapFlags																
2	2	11	17	2	0	1252	42	4				KeyMost																
2	2	12	4	4	0	1252	42	4				LVChunkMax																
2	2	128	10	255	1	1252						Name																
2	2	129	9	255	0	1252						Stats																
2	2	130	10	255	0	1252						TemplateTable																
2	2	131	9	255	0	1252						DefaultValue																
2	2	132	9	255	0	1252						KeyFldIDs																
2	2	133	9	255	0	1252						VarSegMac																
2	2	134	9	255	0	1252						ConditionalColumns																
2	2	135	9	255	0	1252						TupleLimits																
2	2	136	9	255	0	1252						Version																
2	2	137	9	255	0	1252						SortID																
2	2	256	11	0	0	1252						CallbackData																
2	2	257	11	0	0	1252						CallbackDependencies																
2	2	258	11	0	0	1252						SeparateLV																
2	2	259	11	0	0	1252						SpaceHints																
2	2	260	11	0	0	1252						SpaceDeferredLVHints																
2	2	261	11	0	0	1252						LocaleName																
2	3	2	4	80	65585	0	42	10794	197633			Id				00 00 01 00 00 00 02 00 00 00 03 00											65 00 6E 00 2D 00 55 00 53 00	
2	3	4	7	80	65553	0	42	10794	197633			Name				00 00 01 00 00 00 02 00 00 00 80 00											65 00 6E 00 2D 00 55 00 53 00	
2	3	5	10	80	65545	0	42	10794	197633			RootObjects				00 00 08 00 00 00 80 00											65 00 6E 00 2D 00 55 00 53 00	
3	1	3	24	80	-1073741824	5	255					MSysObjectsShadow																
3	2	1	4	4	1	1252	42	4				ObjidTable																
3	2	2	3	2	1	1252	42	4				Type																
3	2	3	4	4	1	1252	42	4				Id																
3	2	4	4	4	1	1252	42	4				ColtypOrPgnoFDP																
3	2	5	4	4	1	1252	42	4				SpaceUsage																
3	2	6	4	4	1	1252	42	4				Flags																
3	2	7	4	4	1	1252	42	4				PagesOrLocale																
3	2	8	1	1	0	1252	42	4				RootFlag																
3	2	9	3	2	0	1252	42	4				RecordOffset																
3	2	10	4	4	0	1252	42	4				LCMapFlags																
3	2	11	17	2	0	1252	42	4				KeyMost																
3	2	12	4	4	0	1252	42	4				LVChunkMax																
3	2	128	10	255	1	1252						Name																
3	2	129	9	255	0	1252						Stats																
3	2	130	10	255	0	1252						TemplateTable																
3	2	131	9	255	0	1252						DefaultValue																
3	2	132	9	255	0	1252						KeyFldIDs																
3	2	133	9	255	0	1252						VarSegMac																
3	2	134	9	255	0	1252						ConditionalColumns																
3	2	135	9	255	0	1252						TupleLimits																
3	2	136	9	255	0	1252						Version																
3	2	137	9	255	0	1252						SortID																
3	2	256	11	0	0	1252						CallbackData																
