ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,C:\Windows\system32\vssvc.exe,2021-06-05 12:05:19,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,1,C:\Windows\system32\wuauclt.exe,2021-09-13 15:31:51,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,2,C:\Windows\system32\lpremove.exe,2021-06-05 12:05:31,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,3,\\?\C:\Windows\system32\wbem\WMIADAP.EXE,2021-06-05 12:04:58,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,4,C:\Windows\system32\SgrmBroker.exe,2021-06-05 12:06:00,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,5,C:\Windows\system32\SearchFilterHost.exe,2021-09-13 15:31:41,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,6,C:\Windows\System32\SearchProtocolHost.exe,2021-09-13 15:31:41,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,7,C:\Windows\SysWOW64\regsvr32.exe,2021-06-05 12:06:23,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,8,C:\Windows\system32\regsvr32.exe,2021-06-05 12:06:11,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,9,C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.155.77\MicrosoftEdgeUpdateComRegisterShell64.exe,2022-03-05 13:21:55,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,10,C:\Program Files (x86)\Microsoft\Temp\EUE1E4.tmp\MicrosoftEdgeUpdate.exe,2022-03-05 13:21:54,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,11,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{FDC95C87-AAF5-4EE7-9D59-5A680DACEE49}\MicrosoftEdgeUpdateSetup_X86_1.3.155.77.exe,2022-03-05 13:21:54,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,12,C:\Windows\system32\wlrmdr.exe,2021-09-13 15:31:50,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,13,C:\Windows\system32\directxdatabaseupdater.exe,2021-06-05 12:05:06,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,14,C:\Windows\system32\MoNotificationUx.exe,2021-09-13 15:31:51,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,15,C:\Windows\uus\AMD64\MoUsoCoreWorker.exe,2021-09-13 15:31:51,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,16,C:\Windows\system32\usoclient.exe,2021-09-13 15:31:51,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,17,C:\Windows\system32\AUDIODG.EXE,2021-09-13 15:31:23,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,18,C:\Windows\System32\RuntimeBroker.exe,2021-06-05 12:05:12,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,19,0000000b	000a000055f00001	000a000055f00000	8664	Microsoft.Windows.CloudExperienceHost	cw5n1h2txyewy	neutral,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,20,C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\Application,2022-03-05 13:21:18,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,21,0000000b	000a000055f00001	0000000000000000	8664	Microsoft.Windows.CloudExperienceHost	cw5n1h2txyewy	neutral,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,22,C:\Windows\SystemApps\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\Application,2022-03-05 13:21:19,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,23,0000000b	000a000055f00001	0000000000000000	8664	Microsoft.Windows.ContentDeliveryManager	cw5n1h2txyewy	neutral,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,24,0000000b	000a000055f00001	000a000055f00001	8664	MicrosoftWindows.UndockedDevKit	cw5n1h2txyewy	neutral,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,25,0000000b	000a0000533603e8	000c000000000000	8664	Microsoft.Windows.OOBENetworkCaptivePortal	cw5n1h2txyewy	,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,26,0000000b	000a0000533603e8	000c000000000000	8664	Microsoft.Windows.OOBENetworkConnectionFlow	cw5n1h2txyewy	,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,27,C:\Windows\system32\rundll32.exe,2021-06-05 12:05:33,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,28,C:\Windows\System32\pcaui.exe,2021-09-13 15:31:55,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,29,00000009	000e0000722f0000	000a0000273a0000	8664	Microsoft.VCLibs.140.00	8wekyb3d8bbwe	,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,30,C:\Windows\System32\CloudExperienceHostBroker.exe,2021-06-05 12:05:20,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,31,C:\Windows\Explorer.EXE,2021-09-13 15:31:26,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,32,C:\Windows\system32\userinit.exe,2021-09-13 15:31:59,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,33,C:\Windows\system32\MDMAgent.exe,2021-06-05 12:04:57,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,34,C:\Windows\system32\sihost.exe,2021-06-05 12:05:09,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,35,C:\Windows\system32\LogonUI.exe,2021-09-13 15:31:50,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,36,C:\Windows\system32\wermgr.exe,2021-06-05 12:05:25,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,37,C:\Windows\system32\compattelrunner.exe,2021-06-05 12:05:21,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,38,C:\Windows\system32\MdmDiagnosticsTool.exe,2021-06-05 12:05:12,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,39,C:\Windows\system32\dxgiadaptercache.exe,2021-06-05 12:05:06,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,40,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.22000.190_none_0478e2b34cb0bdc3\TiWorker.exe,2021-09-03 05:00:21,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,41,C:\Windows\system32\SearchIndexer.exe,2021-09-13 15:31:41,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,42,C:\Windows\system32\DllHost.exe,2021-06-05 12:05:23,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,43,C:\Windows\system32\utilman.exe,2021-06-05 12:05:20,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,44,C:\Windows\system32\oobe\FirstLogonAnim.exe,2021-06-05 12:05:39,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,45,C:\Windows\system32\mcbuilder.exe,2021-06-05 12:05:33,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,46,C:\Windows\system32\oobe\msoobe.exe,2021-06-05 12:05:39,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,47,C:\Windows\system32\oobe\oobeldr.exe,2021-09-13 15:32:09,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,48,C:\Windows\system32\provtool.exe,2021-09-13 15:31:25,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,49,C:\Windows\System32\vds.exe,2021-06-05 12:05:14,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,50,C:\Windows\System32\vdsldr.exe,2021-06-05 12:05:14,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,51,00000009	0141396c00000009	000a00007fff0000	8664	MicrosoftWindows.Client.WebExperience	cw5n1h2txyewy	,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,52,00000009	000a5214290f0000	000a00004bc80000	8664	Microsoft.ZuneVideo	8wekyb3d8bbwe	,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,53,00000009	000a5214290f0000	000a00004bc80000	8664	Microsoft.ZuneMusic	8wekyb3d8bbwe	,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,54,00000009	000c003217710000	000a000042ee0000	8664	Microsoft.XboxIdentityProvider	8wekyb3d8bbwe	,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,55,00000009	0001002e2af90000	000a000042ee0000	8664	Microsoft.XboxGameOverlay	8wekyb3d8bbwe	,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
1,56,00000009	00010006294b0000	000a000047ba0000	8664	Microsoft.WindowsTerminal	8wekyb3d8bbwe	,,NA,False,C:\temp\shimcache\tout\C\Windows\System32\config\SYSTEM
