"ActivityId","Platform","PackageName","ExpirationTime"
"ZPPeCAGUXjsdRteUpqF9Og==","data_boundary","microsoft.default.default","1864839614"
"ZPPeCAGUXjsdRteUpqF9Og==","host","","1864839614"
"aeuL3EBiCK83ngxfdWmGnw==","data_boundary","microsoft.default.input","1864839707"
"aeuL3EBiCK83ngxfdWmGnw==","host","","1864839707"
"xS7xVG7KDT5x2+GOqtb57g==","x_exe_path","d:\setup64.exe","1646679789"
"xS7xVG7KDT5x2+GOqtb57g==","host","","1646679789"
"md1F5Ad0Y5nUKJeioiN6Eg==","x_exe_path","microsoft.windows.windowsinstaller","1646679794"
"md1F5Ad0Y5nUKJeioiN6Eg==","host","","1646679794"
"MW3miIf3eGt1DrPkGwBXxA==","x_exe_path","d:\setup64.exe","1646679811"
"MW3miIf3eGt1DrPkGwBXxA==","packageid","d:\setup64.exe","1646679811"
"MW3miIf3eGt1DrPkGwBXxA==","host","","1646679811"
"CaztCOs03hEgIxP2QXSlRw==","x_exe_path","*pid00000fc4","1646679872"
"CaztCOs03hEgIxP2QXSlRw==","host","","1646679872"
"846/eaPFORZVUM8jMRwxMg==","x_exe_path","*pid00000fc4","1646679875"
"846/eaPFORZVUM8jMRwxMg==","packageid","*pid00000fc4","1646679875"
"846/eaPFORZVUM8jMRwxMg==","host","","1646679875"
"/uRSh1Sj99gKrbVsFZrugw==","x_exe_path","c:\users\andrewrathbun\desktop\kape.exe","1646679890"
"/uRSh1Sj99gKrbVsFZrugw==","host","","1646679890"
"FLZsu8il3/CQlhgx1CJN0A==","x_exe_path","c:\users\andrewrathbun\desktop\kape.exe","1646679892"
"FLZsu8il3/CQlhgx1CJN0A==","packageid","c:\users\andrewrathbun\desktop\kape.exe","1646679892"
"FLZsu8il3/CQlhgx1CJN0A==","host","","1646679892"
"XCDSdl67QjIaB91IPbRSbg==","x_exe_path","c:\users\andrewrathbun\desktop\kape.exe","1646679894"
"XCDSdl67QjIaB91IPbRSbg==","packageid","c:\users\andrewrathbun\desktop\kape.exe","1646679894"
"XCDSdl67QjIaB91IPbRSbg==","host","","1646679894"
"Fh+nFJ5EOuhUhNFwFdiInQ==","windows_win32","microsoft.windows.explorer","1646680332"
"Fh+nFJ5EOuhUhNFwFdiInQ==","host","","1646680332"
"8e815W3OKm4Aot5rfx5aRA==","windows_win32","microsoft.windows.explorer","1646680355"
"8e815W3OKm4Aot5rfx5aRA==","packageid","microsoft.windows.explorer","1646680355"
"8e815W3OKm4Aot5rfx5aRA==","host","","1646680355"
"0oXpZs6saMpW11elRX/uLQ==","windows_universal","microsoft.windowsterminal_8wekyb3d8bbwe","1646680368"
"0oXpZs6saMpW11elRX/uLQ==","host","","1646680368"
"uvB/ox+HBqaPGDLIy9C8FA==","windows_universal","microsoft.windowsterminal_8wekyb3d8bbwe","1646680399"
"uvB/ox+HBqaPGDLIy9C8FA==","packageid","microsoft.windowsterminal_8wekyb3d8bbwe!app","1646680399"
"uvB/ox+HBqaPGDLIy9C8FA==","host","","1646680399"
